tracking_id	enos_nn_db_pp_nt_0	enos_nn_db_pp_nt_1	enos_nn_db_pp_nt_2	enos_nn_db_pp_nt_3	enos_nn_db_pp_nt_4	enos_nn_db_pp_nt_5	enos_nn_db_pp_nt_6	enos_nn_db_pp_nt_7	enos_nn_db_pp_nt_8	enos_nn_db_pp_t_0	enos_nn_db_pp_t_1	enos_nn_db_pp_t_2	enos_nn_db_pp_t_3	enos_nn_db_pp_t_4	enos_nn_db_pp_t_5	enos_nn_db_pp_t_6
Cops7b	7.1046	6.0798	6.9274	5.4291	6.744	6.6807	7.4428	7.637	7.8126	6.8096	6.4788	7.5849	7.2221	6.9089	7.2446	7.547
Cops8	40.8551	33.6693	35.3425	37.2993	34.03	35.7818	40.8905	41.0207	42.3241	38.8398	36.7642	40.02	35.4035	36.3886	33.7832	42.0714
Copz1	48.9936	61.4809	56.3305	56.0058	58.8168	52.7507	59.6605	51.7596	59.7936	55.7523	53.8395	53.403	54.3979	48.5683	52.2916	59.5723
Copz2	35.1448	37.5266	38.9295	35.2789	40.0859	36.8262	52.1026	35.4437	50.4096	35.0977	33.3141	34.6329	34.6173	35.666	30.2427	45.6925
Coq10a	7.8652	8.41	6.9277	6.2836	6.9324	6.5173	8.7901	6.5751	8.6527	7.6405	6.946	6.8703	8.0005	6.4791	7.1951	7.2845
Coq10b	45.0204	23.0102	32.7597	30.4426	31.9338	35.1826	36.5851	45.554	37.7207	38.7247	35.2505	32.6038	30.5666	34.3791	27.2574	43.2941
Coq2	22.329	21.0594	25.5025	23.6862	31.1832	21.6877	25.3511	24.4257	24.4504	26.4069	24.7694	24.7833	28.5903	24.0017	25.9956	38.285
Coq3	3.3965	3.7927	3.4701	3.0849	3.6801	3.5602	3.9611	3.496	3.3245	3.1311	3.7073	3.2232	3.8036	2.677	3.3477	4.0613
Coq4	2.4095	4.8175	5.2997	3.794	5.887	4.7422	5.1173	3.6596	4.3732	4.0153	5.4531	3.9244	4.4013	4.3039	4.826	5.8937
Coq5	13.4391	14.4608	15.3408	11.2959	16.4964	11.0399	11.8582	12.4959	10.1936	8.6102	13.4873	9.4683	13.4149	9.2726	13.0165	10.7762
Coq6	7.9744	10.0553	9.4279	10.4221	11.5565	8.1946	10.234	9.4445	9.1283	9.587	10.1797	8.2978	10.502	7.0934	10.0492	9.8562
Coq7	29.4071	61.5585	38.9976	33.5654	50.4873	36.92	63.2702	28.8777	44.2291	39.4745	37.7639	29.8172	43.4649	24.3591	43.9367	44.3433
Coq9	24.4184	50.5871	48.4162	29.1151	63.7274	33.2012	41.0196	28.1463	29.5475	27.6008	38.4258	27.5613	51.9545	24.4084	48.1367	24.7306
Corin	0.5309	0.7458	0.5034	0.9552	0.7442	0.8767	0.542	0.3233	0.546	1.6071	1.1643	0.5265	0.6222	0.9265	1.066	0.6137
Coro1a	44.2246	13.1657	26.9308	110.722	24.9516	26.7998	13.0374	50.2307	13.078	108.344	21.1902	49.2427	57.5626	14.9505	20.1316	56.7242
Coro1b	70.1855	61.7548	80.1357	122.442	64.8981	72.469	76.313	69.784	63.9598	75.3152	85.9596	91.5081	82.4627	56.4113	70.2966	86.821
Coro1c	45.1306	25.1938	34.3487	54.6651	32.8084	37.033	28.0973	44.4411	37.6154	46.2405	39.7023	41.9823	34.1537	29.5224	36.6565	29.2555
Coro2a	36.1693	11.9708	17.6141	21.72	10.2173	23.538	14.4799	18.3051	18.2026	19.0822	43.6435	29.2431	15.9727	17.6626	23.791	9.3528
Coro2b	60.1557	58.5945	49.3421	44.2575	46.1512	48.3599	83.7092	51.0946	72.0093	50.5882	31.4563	49.5186	37.849	44.5153	42.3614	72.8733
Coro6	0.4421	0.5681	0.2636	0.1676	0.1885	0.2212	0.4886	0.4881	0.7556	0.424	0.2897	0.4155	0.2588	0.528	0.2272	0.2627
Coro7	11.29	8.8368	11.0043	14.9452	9.7535	10.4391	9.9537	11.6699	9.9183	10.9035	10.9311	12.3489	11.1502	6.7479	10.2925	7.9717
Cort	0	0	0	0	0.4578	0.1117	0.1217	0.1134	0.4174	0.1505	0	0.1115	0	0	0.1481	0
Cotl1	50.0523	52.5648	38.0262	125.288	53.0614	43.867	48.7483	57.0099	56.0111	86.2503	31.5425	62.1544	58.2609	23.3455	49.9115	58.8196
Cox10	6.2436	9.1342	7.876	7.776	8.1631	6.7687	6.6702	6.9684	6.9901	6.6013	8.1638	6.0642	9.7459	4.9233	7.8927	6.7254
Cox11	6.922	5.6902	7.0166	5.5851	9.7084	7.1833	7.4876	6.5488	5.9611	6.362	7.4626	5.3868	7.6913	6.0903	7.5197	6.3804
Cox15	8.6936	11.2102	10.2388	8.8416	11.1518	9.2588	10.9948	9.4808	9.8996	8.3966	8.8813	8.4556	9.8108	7.093	9.7885	10.5943
Cox16	7.426	8.319	7.9841	9.4727	9.6007	8.803	11.9772	8.9913	9.3377	9.7073	7.6669	7.44	10.1328	10.4869	9.4306	10.8896
Cox17	81.2745	96.9423	107.121	91.9695	134.71	92.6962	128.89	88.365	92.3214	96.7043	100.522	74.3425	113.132	87.8008	102.604	138.277
Cox18	5.7872	8.0852	6.2177	7.2778	7.0017	5.3167	7.2839	5.8872	8.0947	4.9044	5.9426	6.1525	6.4467	4.516	6.0873	8.5876
Cox19	19.5779	20.9205	22.5603	19.6691	26.1793	19.5401	22.1091	19.2569	21.8619	19.6555	21.8735	16.8667	24.9592	14.9111	26.8251	20.0983
Cox4i1	389.836	707.202	569.049	430.804	804.067	494.915	542.285	447.752	433.339	448.772	546.444	376.86	645.382	329.538	632.108	417.083
Cox4i2	3.6299	2.1585	1.647	4.6453	2.4138	2.3948	3.4055	2.4098	2.2819	4.7835	4.2508	2.86	2.4648	1.9286	2.6955	3.0794
Cox4nb	11.2476	10.9621	9.9301	10.353	10.6874	10.3223	12.0139	10.6722	11.1262	11.031	10.3438	10.9177	9.1557	9.6211	10.6702	9.842
Cox5a	137.233	226.524	205.906	158.338	301.656	163.054	193.671	157.193	146.532	151.415	215.272	131.025	246.874	125.362	218.902	150.188
Cox5b	215.152	389.355	337.583	262.244	493.506	270.505	328.109	253.374	239.749	270.887	343.303	220.136	401.533	176.289	393.549	236.277
Cox6a1	519.287	845.134	713.043	591.647	979.218	573.742	693.707	574.365	545.005	587.703	710.12	449.967	803.296	340.244	778.86	536.824
Cox6a2	0.1207	0.2127	0.6529	1.3154	0.8601	0.5412	0.7539	0.0779	0.0717	0	0	0.5389	0.6374	0	0.5087	0.0811
Cox6b1	311.738	454.549	491.003	353.913	650.41	371.071	449.664	357.196	362.12	368.59	467.242	305.141	518.176	274.623	480.8	357.396
Cox6b2	5.1252	11.2822	7.0214	6.6409	8.5515	4.0831	5.7328	7.2042	7.6994	11.265	7.5656	7.297	5.7648	5.6807	10.2644	5.7599
Cox6c	322.085	514.495	485.176	345.768	750.559	411.205	480.348	377.742	338.618	414.245	449.257	334.077	605.45	322.715	528.767	345.436
Cox7a1	6.3739	15.9382	20.6627	9.2079	33.0341	11.244	22.4209	14.2751	13.7986	9.0266	13.3638	7.5719	19.835	6.6061	25.0697	12.5783
Cox7a2	134.729	220.587	204.91	146.483	285.714	168.625	206.353	155.822	148.851	166.155	204.485	133.603	230.364	144.119	215.007	163.04
Cox7a2l	118.798	145.728	127.12	129.119	130.175	118.937	119.524	120.593	111.842	120.534	108.575	104.877	126.827	102.459	122.894	99.4488
Cox7b	93.1022	146.344	163.26	102.566	234.501	123.716	154.027	114.761	99.242	122.438	153.787	101.573	189.298	111.615	176.241	103.019
Cox7b2	0.4664	0	0.1205	0.2429	0	0	0.216	0	0.0926	0.5351	0	0	0	0	0	2.6149
Cox7c	253.036	375.91	390.823	296.847	566.39	322.596	381.302	306.695	293.146	321.537	363.877	242.469	432.59	217.642	415.578	307.872
Cox8a	418.195	699.72	638.088	495.655	857.085	486.737	628.346	444.886	464.224	459.367	611.747	353.096	671.492	293.135	671.695	509.853
Cox8b	0	0	0	0	0	0	0	0	0	0.2407	0	0	0	0	0	0
Cox8c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cp	56.5271	17.8307	31.6977	74.0981	20.4593	32.7511	22.9318	25.4291	37.5082	54.4476	80.9582	73.1208	57.3333	64.7308	50.9343	98.8104
Cpa1	0.0436	0	0	0	0	0	0	0	0	0	0	0	0.0287	0	0	0
Cpa2	0.6347	0.0924	0.2434	0.3678	0.2708	0.3402	0.2929	0.3739	0.2504	0.3652	0.2675	0.0676	0.4181	0.5154	0.4432	0.1415
Cpa3	0	0.0416	0.1098	0.2212	0	0.1228	0.0661	0	0.0282	0.4121	0.1609	0	0.0629	0	0.04	0.0638
Cpa4	0	0	0	0	0	0	0	0	0	0	0	0	0.0215	0	0	0
Cpa5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cpa6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cpamd8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cpb1	0.0926	0	0.1774	0.0715	0.0296	0.0596	0.032	0.2379	0.2191	0.04	0	0.0887	0.1219	0	0.1551	0.2785
Cpb2	0.0469	0.1636	0.0359	0.0362	0	0.0905	0	0	0	0	0.0395	0.0898	0	0.0458	0.1963	0
Cpd	71.966	57.5268	55.2705	54.0112	48.7541	63.4603	55.3219	59.3371	55.6601	49.7822	44.9314	56.1359	45.8729	68.3142	43.2578	46.8017
Cpe	30.4949	6.6725	19.2578	45.7819	19.2989	22.4361	21.6436	17.1121	42.7662	25.9239	25.9985	32.9284	28.2512	26.1112	24.303	16.3359
Cpeb1	3.4993	5.5589	4.48	3.6721	5.4902	3.6433	7.0663	2.863	5.8876	4.3153	4.9024	4.5532	3.8386	4.9057	5.3415	6.2468
Cpeb2	7.0052	9.0416	6.1025	5.7231	7.7501	6.7637	6.8848	6.7552	6.9368	6.1368	5.9653	5.9189	6.5295	8.857	7.3617	5.7519
Cpeb3	3.9595	6	4.7771	3.0112	6.7845	4.8709	3.8097	3.4405	2.8938	2.9522	4.1151	3.2825	3.8163	4.2211	3.917	2.0715
Cpeb4	24.7326	20.6965	20.5347	20.4593	17.4878	19.0359	20.6568	19.7218	18.8957	20.0417	18.6853	20.3393	15.9188	24.3153	20.5353	19.3479
Cphx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cplx1	0.0305	0	0.0234	0	0	0.0197	0.0423	0.0196	0.0542	0	0.0771	0.0195	0.0201	0	0	0
Cplx2	13.4411	10.4798	10.397	12.8797	11.8208	14.031	12.4867	15.7538	14.2771	14.4119	11.3071	10.2745	11.5931	11.718	10.7208	8.6873
Cplx3	0.0461	0	0.0176	0.0533	0.0147	0.0297	0.0319	0	0.0136	0	0.0194	0.0295	0	0	0.0385	0.0462
Cplx4	0	0.0338	0	0.0299	0.0248	0	0.0537	0	0	0	0.0326	0.0248	0.1277	0.3424	0	0
Cpm	46.8625	15.9181	24.4841	36.4297	12.1887	30.1228	24.5904	18.8543	20.3442	40.445	50.9719	58.26	34.8384	23.3246	32.4932	16.1978
Cpn1	0.3794	12.5631	6.4507	1.3755	13.1729	6.8393	1.9686	2.5579	2.1761	1.9331	5.4923	4.8478	5.0712	1.8243	9.5249	0.1774
Cpn2	0	0	0	0	0	0	0	0	0.0083	0	0	0	0.0093	0	0	0
Cpne1	52.4901	28.8644	41.3164	45.5176	37.8985	47.2003	36.5573	51.1753	40.8845	42.4421	39.3885	47.1053	37.0071	36.4847	38.9936	38.6045
Cpne2	28.848	11.9355	24.8447	23.1235	13.5417	24.0728	15.6395	21.6177	18.5721	19.7336	29.7427	20.2666	14.065	20.2552	21.6003	12.313
Cpne3	22.2008	26.3676	23.7196	23.7222	22.7312	24.1552	26.1557	20.5634	20.2359	21.4201	24.5335	25.0417	20.5386	25.621	20.1333	24.3711
Cpne4	14.4314	2.1395	9.3111	16.3386	3.2106	7.6123	4.6368	5.6619	6.5102	3.8842	3.776	8.4937	2.6998	5.4777	3.2487	0.3214
Cpne5	0.0445	0.0515	0.1133	0.0571	0.0471	0.2008	0.041	0.0761	0.0613	0.1538	0.1121	0.0664	0.0683	0.0294	0.0248	0
Cpne6	0.0336	0.0586	0.0257	0.0778	0.0982	0.2599	0.093	0.0432	0.1092	0.2661	0.0777	0.0645	0.1107	0.0331	0.0773	0.1572
Cpne7	12.841	3.3474	6.5842	13.1135	4.0021	7.1312	11.0235	8.5764	11.7084	9.1078	26.1297	18.0194	8.361	6.385	10.7591	3.7142
Cpne8	22.2262	18.7462	24.1609	18.9357	19.3586	22.6464	18.8503	24.2541	25.459	26.3556	22.8226	21.1868	18.7241	22.8395	14.3512	24.0761
Cpne9	0	0.0207	0.0182	0.0183	0.0151	0	0.0164	0.0152	0.014	0.041	0	0.0152	0.0156	0	0	0.0159
Cpox	4.5069	9.6615	8.9827	5.989	11.025	8.0508	5.7765	5.8071	6.0896	4.3917	9.4233	6.7074	7.9767	8.2451	8.9589	4.9034
Cpped1	16.0249	22.0226	19.2668	19.2132	22.5589	18.089	20.8559	18.7271	18.8465	18.1144	19.2332	18.5752	21.8787	18.3722	19.2303	18.4936
Cps1	0	0	0	0	0	0	0	0	0.0081	0	0	0	0	0	0	0
Cpsf1	13.3937	14.4103	13.9528	14.6474	13.5474	13.0044	14.278	14.7481	14.7668	15.2152	12.6659	13.8072	14.5526	11.6403	13.8333	15.9934
Cpsf2	9.3756	8.1109	8.7891	9.8673	8.9349	9.8265	8.5648	10.1168	8.8241	10.0915	9.1015	9.3843	10.1294	11.225	9.5075	9.2362
Cpsf3	11.3452	17.5095	17.2559	17.8383	17.6013	15.5366	14.5619	15.7366	15.5485	16.8933	15.5683	16.2867	15.7355	17.1509	14.9621	16.3593
Cpsf3l	12.8376	12.1857	14.4934	13.4372	12.6309	12.5873	12.0599	12.1189	12.5705	11.2605	14.8778	13.2116	12.9367	13.1012	13.0373	12.1943
Cpsf4	9.5411	6.9757	7.1138	9.9384	6.5589	8.1504	7.9632	10.2769	9.5144	8.5331	8.8259	7.6795	8.2829	9.1736	8.7033	8.149
Cpsf4l	0.4167	2.7332	0.9064	0.9792	3.0558	0.7503	1.533	0.7631	1.6084	0.7879	0.9293	0.3813	1.4148	0.677	1.0235	2.1038
Cpsf6	11.5882	10.4866	10.9298	9.5977	9.495	10.6859	9.2013	11.4101	10.4567	11.1677	12.1374	12.1455	11.5517	21.1533	11.8431	9.4297
Cpsf7	27.3646	21.54	21.17	21.0378	20.5164	21.8838	24.2216	24.8005	26.195	27.7931	20.8725	25.2211	23.8509	31.1424	22.0826	25.8743
Cpt1a	90.1488	88.5165	90.1783	76.7604	116.005	73.0693	52.2443	75.1011	80.33	70.1804	86.1903	77.8594	101.514	69.9583	87.446	80.1006
Cpt1b	3.8068	13.0913	11.0744	2.9962	17.8847	4.0835	5.1794	5.2576	1.3448	3.9647	14.0354	2.5611	15.3974	2.0164	11.838	1.3018
Cpt1c	5.9131	1.7144	3.9823	5.304	2.6183	4.1079	3.4156	5.3072	4.3702	5.6968	6.1153	6.3132	4.26	5.1424	5.878	3.2489
Cpt2	11.7991	18.5868	15.5803	12.4136	26.0948	15.0368	13.9853	11.702	11.6148	12.3722	17.6716	10.7652	16.8211	9.9246	15.889	12.7459
Cpvl	0.2151	0.075	0.1648	0.0664	0.055	0.0554	0.0893	0.1381	0.2799	0.0743	0.0724	0.1924	0.1983	0.1685	0.2521	0.2013
